"Timestamp","Vous êtes ? ","Quel âge avez-vous?","De quelle catégorie est votre permis?","Depuis combien de temps conduisez-vous?","En moyenne, combien de temps passez vous  en roulant pendant une journée ?","Prenez vous les dispositions nécessaires avant de prendre l’autoroute(moteur, vérification des pneus…)","Avez-vous déjà eu un accident récemment?","Quand a eu lieu l'accident ?","A quelle heure a eu l'accident ?","Responsabilité de l'accident :","Lors de votre accident, vous étiez :","Quelles ont été les conséquences suite à cet accident ?","Suite à votre accident, avez-vous eu besoin d'un arrêt de travail ou d'une interruption de votre scolarité  ?","D'après vous quelles sont les causes réelles de ces accidents","A votre avis, laquelle parmi les causes liées à l'infrastructure est le facteur prépondérant des accidents? ","Après l'accident , votre conduite : ","Vous collez le véhicule devant vous ou bien vous lui faites des appels de phares pour lui dire d’aller plus vite ou de changer de voie :","Vous ne vous souvenez plus où vous avez garé votre véhicule dans un grand parking :","Vous tournez à droite pour entrer sur une route principale et vous croisez le chemin d’un véhicule que vous n’aviez pas vu ou dont vous aviez mal estimé la vitesse :","Délibérément, vous ne respectez pas la limitation de vitesse tard dans la nuit ou très tôt le matin :","Vous  respectez pas le passage piéton :","Vous sous-estimez la vitesse d’un véhicule approchant lorsque vous dépassez :","A la présence d'un dispositif de contrôle(policier,radar...) , vous respectez la vitesse limite:","Vous pénétrez par une mauvaise voie dans un rond-point ou à l’approche d’une intersection :","Vous lisez mal les panneaux et vous prenez la mauvaise sortie à un rond-point : ","Vous vous trouvez impliqué(e) dans une « course non officielle » avec d’autres conducteurs :","   Vous ne respectez pas la limitation de vitesse lorsque la chaussée d'une autoroute comporte trois bandes  de circulation :","Est ce que vous appelez ou répondez aux appels téléphoniques pendant que vous conduisez?","Est ce que vous envoyez des SMS depuis votre téléphone portable en conduisant?"
"2018/04/24 10:53:39 PM GMT+1","Une femme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Fréquemment","Non","","","","","","","","","","Parfois","Rarement","Jamais","Parfois","Assez souvent","Rarement","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Jamais","Rarement","Rarement","Rarement","Parfois","Rarement"
"2018/04/25 1:18:03 AM GMT+1","Un homme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 30 et 60 minutes","Fréquemment","Oui","Moins d'un an","8h - 12h","50/50","En voiture","Matérielles","","Congestion de la route","Facteur lié à l'entretien de la route (trous / dos-d'âne )","N’a pas changée","Rarement","Rarement","Assez souvent","Presque toujours","Parfois","Rarement","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Rarement","Jamais","Rarement","Rarement","Parfois","Jamais"
"2018/04/25 2:31:28 AM GMT+1","Un homme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Entre 0 et 30 minutes","Parfois","Oui","Moins d'un an","12h - 16h","Responsable","En voiture","Matérielles","Arrêt de travail / Interruption de scolarité","Manque de concentration (utilisation du téléphone ou préoccupé par autre chose..)","Facteur lié au marquage au sol;Facteur lié à la signalisation;Facteur lié à l'éclairage;Facteur lié à l'entretien de la route (trous / dos-d'âne )","S’est plutôt améliorée","Presque toujours","Rarement","Rarement","Assez souvent","Assez souvent","Assez souvent","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Rarement","Rarement","Rarement","Parfois","Parfois"
"2018/04/25 3:58:16 AM GMT+1","Une femme","Entre 18 et 25 ans","A","Moins de  3 ans","Entre 30 et 60 minutes","Fréquemment","Non","","","","","","","","","","Parfois","Jamais","Rarement","Parfois","Presque toujours","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Jamais","Rarement","Rarement"
"2018/04/25 9:11:39 AM GMT+1","Une femme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 0 et 30 minutes","Rarement","Non","","","","","","","","","","Jamais","Rarement","Rarement","Rarement","Fréquemment","Parfois","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Parfois","Assez souvent","Jamais","Jamais","Parfois","Jamais"
"2018/04/25 12:12:11 PM GMT+1","Un homme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Presque toujours","Non","","","","","","","","","","Fréquemment","Jamais","Parfois","Rarement","Assez souvent","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Jamais","Presque toujours","Fréquemment"
"2018/04/25 2:11:13 PM GMT+1","Un homme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 30 et 60 minutes","Assez souvent","Non","","","","","","","","","","Parfois","Rarement","Parfois","Assez souvent","Assez souvent","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Rarement","Jamais","Jamais","Assez souvent","Rarement"
"2018/04/25 4:13:59 PM GMT+1","Une femme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 30 et 60 minutes","Jamais","Non","","","","","","","","","","Parfois","Rarement","Jamais","Assez souvent","Presque toujours","Jamais","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Jamais","Jamais","Jamais","Parfois","Jamais","Jamais"
"2018/04/25 7:58:42 PM GMT+1","Un homme","Plus de 42 ans","B","Plus de 10 ans","Plus de 3 heures","Presque toujours","Non","","","","","","","","","","Presque toujours","Rarement","Jamais","Parfois","Presque toujours","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Rarement","Jamais","Jamais","Rarement","Jamais"
"2018/04/25 8:52:48 PM GMT+1","Une femme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 30 et 60 minutes","Fréquemment","Non","","","","","","","","","","Rarement","Assez souvent","Assez souvent","Fréquemment","Presque toujours","Fréquemment","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Parfois","Assez souvent","Fréquemment","Presque toujours","Rarement","Jamais"
"2018/04/25 10:09:08 PM GMT+1","Une femme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 0 et 30 minutes","Presque toujours","Non","","","","","","","","","","Parfois","Rarement","Rarement","Jamais","Fréquemment","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Parfois","Jamais","Jamais","Rarement","Jamais"
"2018/04/25 10:16:25 PM GMT+1","Un homme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 0 et 30 minutes","Parfois","Non","","","","","","","","","","Rarement","Rarement","Parfois","Assez souvent","Parfois","Rarement","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Rarement","Rarement","Jamais","Parfois","Presque toujours","Jamais"
"2018/04/25 10:17:01 PM GMT+1","Une femme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 0 et 30 minutes","Parfois","Oui","Moins d'un an","16h - 20h","Responsable","En voiture","Matérielles","Incapacité Totale de Travail (ITT)","Manque de connaissance de la base de conduite","Facteur lié au marquage au sol","S’est plutôt améliorée","Jamais","Jamais","Rarement","Rarement","Fréquemment","Parfois","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Parfois","Rarement","Assez souvent","Jamais","Jamais","Jamais"
"2018/04/25 10:27:11 PM GMT+1","Une femme","Entre 26 et 33 ans","A","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Rarement","Oui","Moins d'un an","12h - 16h","Pas responsable","En voiture","Matérielles","","Je ne sais pas","","N’a pas changée","Presque toujours","Parfois","Rarement","Parfois","Parfois","Fréquemment","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Jamais","Parfois","Parfois","Parfois","Parfois","Rarement"
"2018/04/27 2:47:52 PM GMT+1","Un homme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Presque toujours","Non","","","","","","","","","","Fréquemment","Assez souvent","Parfois","Presque toujours","Assez souvent","Jamais","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Rarement","Rarement","Parfois","Assez souvent","Parfois","Jamais"
"2018/04/28 12:27:38 AM GMT+1","Une femme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Entre 0 et 30 minutes","Rarement","Non","","","","","","","","","","Assez souvent","Fréquemment","Rarement","Parfois","Presque toujours","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Parfois","Jamais","Jamais","Rarement","Jamais"
"2018/04/28 9:22:30 AM GMT+1","Une femme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 0 et 30 minutes","Fréquemment","Non","","","","","","","","","","Jamais","Jamais","Jamais","Jamais","Presque toujours","Parfois","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Assez souvent","Parfois","Jamais","Jamais","Jamais"
"2018/04/28 1:35:26 PM GMT+1","Une femme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Jamais","Non","","","","","","","","","","Assez souvent","Rarement","Jamais","Assez souvent","Fréquemment","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Parfois","Rarement","Rarement","Jamais"
"2018/04/28 3:34:36 PM GMT+1","Une femme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 0 et 30 minutes","Jamais","Non","","","","","","","","","","Fréquemment","Assez souvent","Rarement","Presque toujours","Rarement","Parfois","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Jamais","Rarement","Parfois","Assez souvent","Presque toujours","Parfois"
"2018/05/01 12:30:28 PM GMT+1","Un homme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Entre 30 et 60 minutes","Presque toujours","Non","","","","","","","","","","Parfois","Parfois","Rarement","Jamais","Presque toujours","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Parfois","Parfois","Rarement","Assez souvent","Jamais"
"2018/05/02 5:29:38 PM GMT+1","Un homme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Entre 30 et 60 minutes","Rarement","Non","","","","","","","","","","Fréquemment","Fréquemment","Rarement","Parfois","Presque toujours","Rarement","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Rarement","Rarement","Rarement","Parfois","Rarement","Parfois"
"2018/05/03 11:31:58 AM GMT+1","Un homme","Entre 34 et 41 ans","B","Plus de 10 ans","Entre 1 heure et 3 heures","Presque toujours","Non","","","","","","","","","","Parfois","Parfois","Jamais","Presque toujours","Presque toujours","Presque toujours","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Jamais","Jamais","Parfois","Presque toujours","Parfois","Jamais"
"2018/05/03 6:07:17 PM GMT+1","Un homme","Plus de 42 ans","B","Plus de 10 ans","Entre 1 heure et 3 heures","Jamais","Non","","","","","","","","","","Rarement","Rarement","Rarement","Rarement","Assez souvent","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Jamais","Rarement","Rarement","Assez souvent","Rarement"
"2018/05/07 11:51:51 AM GMT+1","Une femme","Entre 26 et 33 ans","B","Plus de 10 ans","Entre 1 heure et 3 heures","Parfois","Oui","Plus d'un an","16h - 20h","Pas responsable","En voiture","Matérielles","Arrêt de travail / Interruption de scolarité","Des problèmes d'infrastructures et de signalisation (aménagement comme pistes cyclables non protégées, travaux sur la route, routes mal entretenues).","Facteur lié à la signalisation","S’est plutôt améliorée","Presque toujours","Parfois","Parfois","Fréquemment","Parfois","Assez souvent","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Rarement","Parfois","Rarement","Parfois","Presque toujours","Presque toujours"
"2018/05/09 9:40:34 AM GMT+1","Une femme","Plus de 42 ans","A","Plus de 10 ans","Entre 1 heure et 3 heures","Rarement","Non","","","","","","","","","","Jamais","Assez souvent","Rarement","Jamais","Presque toujours","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Jamais","Parfois","Jamais"
"2018/05/10 11:50:03 PM GMT+1","Un homme","Entre 18 et 25 ans","A","Moins de  3 ans","Entre 1 heure et 3 heures","Parfois","Oui","Moins d'un an","12h - 16h","50/50","En voiture","Matérielles","","Des problèmes d'infrastructures et de signalisation (aménagement comme pistes cyclables non protégées, travaux sur la route, routes mal entretenues).","Facteur lié à l'entretien de la route (trous / dos-d'âne )","N’a pas changée","Presque toujours","Rarement","Rarement","Fréquemment","Fréquemment","Assez souvent","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Parfois","Parfois","Assez souvent","Assez souvent","Presque toujours","Fréquemment"
"2018/05/17 11:45:31 AM GMT+1","Un homme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Parfois","Oui","Moins d'un an","20h - 0h","Pas responsable","En voiture","Matérielles","Arrêt de travail / Interruption de scolarité","J'était sous l'effet d'une drogue ou en état d'ivresse","","S’est plutôt améliorée","Parfois","Jamais","Rarement","Parfois","Parfois","Rarement","Je ne respecte pas  la vitesse même si il y a ou non un dispositif de contrôle","Parfois","Parfois","Rarement","Assez souvent","Presque toujours","Presque toujours"
"2018/05/18 2:35:07 PM GMT+1","Une femme","Entre 34 et 41 ans","B","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Jamais","Oui","Moins d'un an","8h - 12h","Responsable","En voiture","Matérielles","","Congestion de la route","Facteur lié à la signalisation","N’a pas changée","Jamais","Parfois","Rarement","Parfois","Parfois","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Parfois","Parfois","Jamais","Jamais","Jamais","Jamais"
"2018/05/18 3:37:11 PM GMT+1","Un homme","Entre 26 et 33 ans","B","Plus de 10 ans","Entre 30 et 60 minutes","Parfois","Non","","","","","","","","","","Parfois","Assez souvent","Rarement","Assez souvent","Parfois","Parfois","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Parfois","Parfois","Parfois","Parfois","Parfois","Rarement"
"2018/05/20 6:56:49 PM GMT+1","Un homme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Entre 30 et 60 minutes","Assez souvent","Oui","Moins d'un an","8h - 12h","Responsable","En voiture","Matérielles","","Facteurs externes (conditions météorologiques, animaux...)","Facteur lié au marquage au sol;Facteur lié à la signalisation","N’a pas changée","Parfois","Rarement","Parfois","Parfois","Presque toujours","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Rarement","Jamais","Jamais","Fréquemment","Rarement"
"2018/05/21 2:19:43 AM GMT+1","Un homme","Entre 34 et 41 ans","B","Plus de 10 ans","Entre 30 et 60 minutes","Rarement","Non","","","","","","","","","","Fréquemment","Jamais","Rarement","Rarement","Assez souvent","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Jamais","Parfois","Parfois"
"2018/05/22 12:08:35 PM GMT+1","Un homme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Entre 30 et 60 minutes","Assez souvent","Oui","Moins d'un an","8h - 12h","Pas responsable","En voiture","Matérielles","","J'était en retard","Facteur lié à la signalisation","S’est plutôt améliorée","Jamais","Jamais","Jamais","Rarement","Fréquemment","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Rarement","Jamais","Rarement","Rarement","Jamais"
"2018/05/22 2:47:17 PM GMT+1","Un homme","Entre 18 et 25 ans","A","Entre 3 et 10 ans","Entre 30 et 60 minutes","Jamais","Non","","","","","","","","","","Fréquemment","Jamais","Jamais","Rarement","Presque toujours","Parfois","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Jamais","Jamais","Parfois","Assez souvent","Fréquemment","Assez souvent"
"2018/05/22 5:13:14 PM GMT+1","Un homme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Rarement","Oui","Moins d'un an","16h - 20h","50/50","En voiture","Matérielles","","Manque de concentration (utilisation du téléphone ou préoccupé par autre chose..)","Facteur lié au marquage au sol;Facteur lié à la signalisation;Facteur lié à l'éclairage;Facteur lié à l'entretien de la route (trous / dos-d'âne )","S’est plutôt améliorée","Rarement","Jamais","Jamais","Jamais","Presque toujours","Presque toujours","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Rarement","Rarement","Assez souvent","Parfois"
"2018/05/24 1:35:53 PM GMT+1","Une femme","Plus de 42 ans","A","Plus de 10 ans","Entre 30 et 60 minutes","Rarement","Non","","","","","","","","","","Parfois","Rarement","Jamais","Rarement","Fréquemment","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Jamais","Jamais","Jamais","Presque toujours","Rarement"
"2018/05/24 9:47:06 PM GMT+1","Une femme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Rarement","Non","","","","","","","","","","Parfois","Assez souvent","Parfois","Assez souvent","Assez souvent","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Parfois","Rarement","Assez souvent","Parfois","Rarement","Parfois"
"2018/05/25 7:22:06 PM GMT+1","Un homme","Entre 34 et 41 ans","B","Plus de 10 ans","Entre 30 et 60 minutes","Presque toujours","Oui","Plus d'un an","12h - 16h","Pas responsable","En voiture","Matérielles","","J'était de mauvaise humeur","Facteur lié au marquage au sol;Facteur lié à l'entretien de la route (trous / dos-d'âne )","N’a pas changée","Jamais","Assez souvent","Rarement","Jamais","Fréquemment","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Parfois","Jamais","Jamais","Rarement","Jamais"
"2018/05/28 1:45:45 PM GMT+1","Un homme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Entre 30 et 60 minutes","Assez souvent","Oui","Plus d'un an","20h - 0h","Responsable","En voiture","Corporelles;Matérielles","Arrêt de travail / Interruption de scolarité","J'était de mauvaise humeur;Manque de concentration (utilisation du téléphone ou préoccupé par autre chose..)","Facteur lié à l'éclairage;Facteur lié à l'entretien de la route (trous / dos-d'âne )","S’est plutôt améliorée","Rarement","Jamais","Jamais","Rarement","Fréquemment","Parfois","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Rarement","Jamais","Rarement","Parfois","Rarement"
"2018/05/28 1:47:14 PM GMT+1","Un homme","Entre 34 et 41 ans","A","Plus de 10 ans","Entre 1 heure et 3 heures","Rarement","Oui","Plus d'un an","16h - 20h","Pas responsable","En voiture","Matérielles","Arrêt de travail / Interruption de scolarité","Manque de concentration (utilisation du téléphone ou préoccupé par autre chose..);Manque de connaissance de la base de conduite","Facteur lié à la signalisation;Facteur lié à l'éclairage;Facteur lié à l'entretien de la route (trous / dos-d'âne )","N’a pas changée","Parfois","Rarement","Fréquemment","Rarement","Parfois","Fréquemment","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Rarement","Rarement","Jamais","Parfois","Parfois","Jamais"
"2018/05/29 2:28:37 PM GMT+1","Un homme","Entre 34 et 41 ans","B","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Parfois","Non","","","","","","","","","","Parfois","Jamais","Rarement","Assez souvent","Assez souvent","Parfois","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Jamais","Rarement","Rarement","Jamais","Jamais","Jamais"
"2018/06/10 2:18:57 AM GMT+1","Une femme","Entre 26 et 33 ans","A","Moins de  3 ans","Entre 30 et 60 minutes","Parfois","Non","","","","","","","","","","Jamais","Parfois","Rarement","Jamais","Fréquemment","Assez souvent","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Jamais","Assez souvent","Jamais"
"2018/06/10 2:34:59 AM GMT+1","Un homme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Entre 0 et 30 minutes","Presque toujours","Non","","","","","","","","","","Rarement","Assez souvent","Parfois","Rarement","Presque toujours","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Jamais","Rarement","Jamais","Rarement","Jamais"
"2018/06/10 2:45:53 AM GMT+1","Un homme","Entre 34 et 41 ans","B","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Parfois","Non","","","","","","","","","","Parfois","Rarement","Rarement","Assez souvent","Assez souvent","Rarement","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Jamais","Parfois","Jamais","Rarement","Fréquemment","Rarement"
"2018/06/10 2:47:10 AM GMT+1","Un homme","Plus de 42 ans","B","Plus de 10 ans","Entre 30 et 60 minutes","Assez souvent","Non","","","","","","","","","","Parfois","Parfois","Jamais","Rarement","Assez souvent","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Rarement","Jamais","Jamais","Rarement","Jamais"
"2018/06/10 3:34:18 AM GMT+1","Un homme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Entre 30 et 60 minutes","Presque toujours","Oui","Plus d'un an","12h - 16h","Pas responsable","En voiture","Matérielles","Arrêt de travail / Interruption de scolarité","Congestion de la route","Facteur lié à la signalisation","","Fréquemment","Jamais","Rarement","Parfois","Parfois","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Parfois","Jamais","Jamais","Jamais","Parfois","Parfois"
"2018/06/10 3:51:29 AM GMT+1","Un homme","Entre 18 et 25 ans","B","Plus de 10 ans","Entre 1 heure et 3 heures","Jamais","Oui","Moins d'un an","4h - 8h","50/50","En deux roues ( moto,vélo,scooter)","Familiales","Arrêt de travail / Interruption de scolarité","Je ne sais pas","Facteur lié au marquage au sol","N’a pas changée","Jamais","Jamais","Rarement","Presque toujours","Presque toujours","Presque toujours","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Jamais","Presque toujours","Jamais","Rarement","Presque toujours","Jamais"
"2018/06/10 4:11:44 AM GMT+1","Un homme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Entre 0 et 30 minutes","Assez souvent","Non","","","","","","","","","","Jamais","Rarement","Rarement","Jamais","Parfois","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Rarement","Jamais","Rarement","Jamais","Jamais"
"2018/06/10 4:29:51 AM GMT+1","Un homme","Plus de 42 ans","C","Plus de 10 ans","Entre 1 heure et 3 heures","Rarement","Non","","","","","","","","","","Jamais","Assez souvent","Jamais","Rarement","Rarement","Rarement","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Jamais","Rarement","Rarement","Parfois","Assez souvent","Parfois"
"2018/06/10 4:31:59 AM GMT+1","Un homme","Entre 34 et 41 ans","B","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Assez souvent","Non","","","","","","","","","","Parfois","Parfois","Rarement","Jamais","Presque toujours","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Rarement","Rarement","Rarement","Jamais","Jamais"
"2018/06/10 4:42:04 AM GMT+1","Un homme","Plus de 42 ans","B","Plus de 10 ans","Entre 1 heure et 3 heures","Parfois","Non","","","","","","","","","","Jamais","Parfois","Jamais","Jamais","Presque toujours","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Jamais","Parfois","Parfois"
"2018/06/10 5:19:14 AM GMT+1","Un homme","Entre 34 et 41 ans","B","Plus de 10 ans","Entre 1 heure et 3 heures","Jamais","Oui","Plus d'un an","16h - 20h","Pas responsable","En voiture","Psychologiques;Matérielles","Arrêt de travail / Interruption de scolarité","J'était en retard;J'était de mauvaise humeur;Manque de concentration (utilisation du téléphone ou préoccupé par autre chose..)","Facteur lié à la signalisation","S’est plutôt améliorée","Parfois","Jamais","Rarement","Presque toujours","Presque toujours","Rarement","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Jamais","Rarement","Rarement","Presque toujours","Presque toujours","Fréquemment"
"2018/06/10 7:37:07 AM GMT+1","Un homme","Plus de 42 ans","B","Plus de 10 ans","Entre 30 et 60 minutes","Presque toujours","Non","","","","","","","","","","Jamais","Jamais","Jamais","Jamais","Presque toujours","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Jamais","Jamais","Jamais","Jamais","Jamais"
"2018/06/10 9:42:16 AM GMT+1","Un homme","Entre 34 et 41 ans","A","Plus de 10 ans","Entre 1 heure et 3 heures","Rarement","Non","","","","","","","","","","Assez souvent","Rarement","Rarement","Assez souvent","Parfois","Rarement","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Jamais","Rarement","Rarement","Parfois","Fréquemment","Assez souvent"
"2018/06/10 9:42:38 AM GMT+1","Un homme","Plus de 42 ans","B","Plus de 10 ans","Entre 0 et 30 minutes","Assez souvent","Non","","","","","","","","","","Parfois","Rarement","Rarement","Jamais","Assez souvent","Parfois","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Jamais","Parfois","Jamais"
"2018/06/10 12:38:17 PM GMT+1","Une femme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Parfois","Non","","","","","","","","","","Assez souvent","Rarement","Rarement","Parfois","Fréquemment","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Rarement","Parfois","Rarement","Presque toujours","Parfois"
"2018/06/10 12:44:11 PM GMT+1","Un homme","Plus de 42 ans","A","Plus de 10 ans","Entre 0 et 30 minutes","Parfois","Non","","","","","","","","","","Jamais","Jamais","Jamais","Parfois","Rarement","Parfois","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Jamais","Jamais","Jamais","Jamais","Parfois","Jamais"
"2018/06/10 1:12:18 PM GMT+1","Une femme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 30 et 60 minutes","Assez souvent","Oui","Moins d'un an","8h - 12h","Responsable","En voiture","Psychologiques;Matérielles","Arrêt de travail / Interruption de scolarité","Je ne sais pas","Facteur lié à l'entretien de la route (trous / dos-d'âne )","S’est plutôt améliorée","Fréquemment","Parfois","Parfois","Jamais","Presque toujours","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Parfois","Rarement","Parfois","Jamais","Parfois","Jamais"
"2018/06/10 1:27:45 PM GMT+1","Un homme","Entre 26 et 33 ans","B","Moins de  3 ans","Entre 30 et 60 minutes","Parfois","Non","","","","","","","","","","Jamais","Assez souvent","Parfois","Jamais","Assez souvent","Assez souvent","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Parfois","Parfois","Jamais","Jamais","Jamais","Jamais"
"2018/06/10 2:01:53 PM GMT+1","Une femme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 0 et 30 minutes","Parfois","Non","","","","","","","","","","Rarement","Rarement","Jamais","Assez souvent","Parfois","Jamais","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Jamais","Rarement","Jamais","Assez souvent","Presque toujours","Parfois"
"2018/06/10 3:24:01 PM GMT+1","Un homme","Plus de 42 ans","B","Plus de 10 ans","Entre 30 et 60 minutes","Parfois","Non","","","","","","","","","","Jamais","Rarement","Rarement","Jamais","Presque toujours","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Rarement","Jamais","Jamais","Rarement","Rarement"
"2018/06/10 4:13:56 PM GMT+1","Un homme","Plus de 42 ans","B","Plus de 10 ans","Entre 1 heure et 3 heures","Fréquemment","Oui","Moins d'un an","12h - 16h","Responsable","En voiture","Matérielles","","Manque de concentration (utilisation du téléphone ou préoccupé par autre chose..)","Facteur lié à la signalisation;Facteur lié à l'entretien de la route (trous / dos-d'âne )","N’a pas changée","Rarement","Parfois","Parfois","Rarement","Fréquemment","Fréquemment","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Rarement","Jamais","Rarement","Assez souvent","Rarement"
"2018/06/10 4:50:22 PM GMT+1","Un homme","Plus de 42 ans","B","Plus de 10 ans","Entre 30 et 60 minutes","Parfois","Non","","","","","","","","","","Parfois","Parfois","Parfois","Rarement","Fréquemment","Parfois","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Parfois","Rarement","Rarement","Jamais","Jamais","Jamais"
